"","desc","Var %"
"s01_01T02","Agric.; forestry","3.84409503048484"
"s02_03","Fishing","0.0623255259807554"
"s03_05T06","Oil and gas","0.1746742913042"
"s04_07T08","Mining","0.052870800421112"
"s05_09","Mining support","0.132262116827442"
"s06_10T12","Food; beverages; tobacco","0.0453592185095664"
"s07_13T15","Textiles; leather","0.0321662214989304"
"s08_16","Wood prod.","0.366489267270675"
"s09_17T18","Paper and printing","0.0609845529773612"
"s10_19","Ref. petroleum","0.325291159554419"
"s11_20","Chemicals","0.385480633570423"
"s12_21","Pharmaceuticals","0.0847433633391681"
"s13_22","Rubber; plastic","0.229436278767725"
"s14_23","Non-metal prod.","0.0707595654662718"
"s15_24","Basic metals","0.0539475563623437"
"s16_25","Metal prod.","0.0454593518794955"
"s17_26","Comp.; electronic; optical","0.0209754555587027"
"s18_27","Electrical eq.","0.0404071347751778"
"s19_28","Mach. and eq.","0.0419011690125259"
"s20_29","Motor vehicles","0.0299553723791535"
"s21_30","Other transp. eq.","0.0314562767186333"
"s22_31T33","Other manuf.","0.033643100686942"
"s23_35","Elec; gas","0.0700940015047724"
"s24_36T39","Water","0.0452944084164075"
"s25_41T43","Construction","0.0179434343049678"
"s26_45T47","Trade","0.176448440481769"
"s27_49","Land transp.","0.23936584340698"
"s28_50","Water transp.","0.122612350864393"
"s29_51","Air transp.","0.0477475941422778"
"s30_52","Transp. support","0.173423922575444"
"s31_53","Post","0.0736519774465316"
"s32_55T56","Accomodation and food","0.0342251749110956"
"s33_58T60","Publishing; broadcasting","0.0511791361911484"
"s34_61","Telecommunications","0.0421553442462308"
"s35_62T63","IT","0.0377539868962495"
"s36_64T66","Finance and insurance","0.0926650648337191"
"s37_68","Real estate","0.0185923077104411"
"s38_69T75","Prof. serv.","0.0911287585413145"
"s39_77T82","Admin. services","0.0892224260191865"
"s40_84","Public admin.","0.00922482093439481"
"s41_85","Education","0.00352510868675271"
"s42_86T88","Health","0.00585859254886856"
"s43_90T93","Entretainment","0.00472160580835546"
"s44_94T96","Other serv.","0.0253060546521855"
"s45_97T98","Domestic work","0"
"Total","Total","0.336394146443553"
